# energy_of_formation, melting_point, unit_cell_volume
1.335644218331081934e+00 3.749085577992685270e+00 3.514071205146682697e+00
1.394913725135175309e+00 4.812143515272306438e+00 5.086832863660073478e+00
1.054188172240703381e+00 5.397423170714695573e+00 2.248741887568993292e+00
-4.228412876450721725e-01 2.409184803794976126e+00 2.734001160392347085e+00
-2.232288809192876755e+00 -1.466796828400242614e+00 2.426249885388497063e+00
-2.432194042846209103e-01 4.715561864034299333e+00 7.188948969395853039e-01
2.957169522376722481e-01 -2.001886955800066037e+00 3.813241983205053032e+00
1.695625618448724392e+00 3.639492543413180847e-01 2.767292006231073298e+00
-9.079391283617318509e-01 -9.013387587705005144e-01 3.949704348095254058e+00
2.471947049734134261e+00 4.349690063956166419e+00 1.950805153762474209e+00
2.969864348356018535e+00 3.077547681024050519e+00 -4.675341812608824199e-02
-2.614941645293658579e-01 -2.038191141773899040e-01 1.038992249078143804e+00
2.401402704834878943e+00 4.076751515001842741e+00 1.900439243742540807e+00
2.994508051568040230e+00 -1.444146981051558143e+00 3.366348445511649246e+00
9.614722709826233338e-01 7.694945133213311195e-01 3.056553864537835175e+00
1.775351997328934450e-01 5.271370237638205225e+00 3.573031170924161337e+00
-1.448193292321712455e+00 -1.498962957229872606e+00 4.499369723689238931e+00
1.936467367692883190e+00 1.878353260982138284e+00 2.018778334834474109e+00
3.969772194075910643e-01 -1.557097669038212118e+00 4.080417156169377613e+00
-6.056726174310257393e-01 5.534159083435412185e+00 2.749963015410788358e+00
1.588855151489820594e+00 -2.128383250066507415e+00 1.461126264096536342e+00
9.128843510555310070e-01 2.869869826709224636e+00 1.536294857883797826e+00
4.543272946652263111e-01 2.273704040226820045e+00 5.063028685946830976e-01
4.174500194402160247e+00 5.708455916195063651e+00 2.002624756128371875e+00
6.425545631821145687e-01 3.015407465736882564e+00 2.131698936949811607e+00
6.453423257873260876e-01 -9.600388606141931902e-01 4.904420386326880710e+00
4.184010679797697918e+00 -5.144971953813659571e-02 2.789459829987376516e+00
9.182863909412377623e-01 -4.293955758663974720e+00 2.376212559223322973e+00
-1.247323228090235325e+00 -1.619361091480227888e+00 7.687790264319602773e-01
9.411354210143167975e-01 5.922579419617123975e+00 -9.510560518154951293e-01
1.100845654722908185e+00 -1.459155229313659374e+00 5.706901762110564214e+00
-1.541762465696489892e+00 4.626235713387530701e+00 2.201096369437254729e+00
1.152013949820088201e-01 -1.636583482144201573e+00 9.718127773980125284e-01
1.454361557961026730e+00 5.589033245302426955e+00 1.078729131482657255e+00
3.601027004623758021e+00 -1.839331667864400277e+00 5.279439117546480098e+00
2.666223961706255530e+00 2.683890064903255102e+00 3.340645428162238861e-01
1.208569780398364824e+00 -1.065305151202758260e+00 3.156757963893675800e+00
1.817342543330929261e-01 -8.273346516489374913e-01 2.776293501716344814e+00
3.520542437788735768e+00 4.281500772416335643e+00 3.287376426970094911e+00
1.634834515054558901e+00 3.974475784951570390e+00 4.292125904249760593e-01
-1.822471382749047408e-01 -2.867265616693192687e+00 2.683846424837191158e+00
3.959638082705252415e-01 3.538348217997947298e+00 2.331155762943342591e+00
2.279715308891688164e+00 4.719095186217582061e+00 5.986106657661505182e-01
-3.610304443253832818e-01 -4.172193740311530563e-02 8.707449162094738071e-01
3.174857958432731886e-01 4.575794971275121803e+00 1.301042470469070178e+00
2.399519728860282086e-01 -2.082150259992459507e+00 1.478999172372239990e+00
-8.151884688678325830e-01 -3.493359568883724453e+00 6.185006811879312227e-01
2.519707921092478320e-01 1.971650618287801304e-01 3.364153792265541121e+00
4.469454815598038477e-01 -2.059447109804966924e+00 7.933942135711025134e-02
2.441228633272064741e+00 4.838336923209992868e+00 3.115127273720799561e+00
1.474148767754805300e+00 -1.233623100433434150e-02 1.409914452809834184e+00
1.043971101694510573e+00 7.813224536478476701e+00 1.640618253909121638e+00
1.557190791639090133e+00 9.204409833451059342e-01 5.215072559794722284e-01
3.866251441210415973e-01 -3.421663381349637323e+00 -1.248156456808027670e+00
1.323317991512955594e+00 -1.950197828257558719e+00 1.180577483557078811e+00
2.146639769134654596e+00 -1.036304699540372631e+00 5.365278402631529886e+00
8.105359709476033236e-01 1.812737609644495151e+00 2.227989331143015672e+00
-1.035975009828068671e+00 5.019134880831723322e+00 2.277941893502994475e+00
1.486217554248387973e+00 4.280264160044557897e+00 2.296659773880211919e+00
-6.699749036088720189e-01 6.872245159463334474e+00 8.670949905851523809e-01
1.565864479516632102e+00 2.895314968431712543e+00 3.580799008552744134e+00
-3.522891243956904894e-02 4.351533164859916702e+00 1.101498403864556108e+00
7.528374205981230860e-02 6.632152097521231582e+00 2.485624253437896947e+00
-5.548633799652846754e-02 2.482671222807208977e+00 1.393883572993990461e+00
3.219763862006046029e+00 -1.619518965408757394e+00 2.247627880839190517e+00
2.856415963780919443e-01 1.135083828238093950e+00 2.328152469201953068e+00
9.003647671039962663e-01 3.527508763682785098e+00 5.870227323947226905e-01
-1.161900166488405439e+00 -3.128517029750565559e+00 5.559781452462916995e+00
1.503507691191898088e+00 1.378164680381922302e+00 7.400239671855013412e-01
9.724495598376712291e-01 4.951496574151722507e-01 4.279430458314970487e+00
2.797635413932575976e-01 5.836473205831399724e+00 1.226456511307783659e+00
7.053006988963842483e-01 -1.934561362957950781e+00 3.243651710290542667e+00
-1.671176132812188242e-01 -1.500630593304578264e+00 3.403320908246800336e+00
-7.139686345886202545e-01 3.207770698151152899e+00 1.477947807660964230e+00
-5.923784031967658237e-01 1.536204211518525264e+00 2.975059261602222893e+00
-5.770136156806242589e-01 -2.874386970369929628e+00 4.120959869443896473e+00
-1.722832131706343861e-01 5.137467773572699237e+00 2.070791493282326368e+00
-4.322577301462313670e-01 -1.747934510096171401e+00 4.507591703733783817e+00
-1.217259038782788627e-01 -2.373380877745639328e+00 3.258901186548343709e+00
5.089412803554360654e-01 4.388035340793008388e+00 3.075427602578427733e-01
1.464302414534014218e+00 -1.167103354378987934e+00 3.156320272521587089e+00
-1.349373939078726270e+00 4.929765558996143326e+00 6.387147851964367629e-01
1.869615346452769833e+00 -3.235416302897353713e+00 1.096280186894233788e+00
4.550940997986503977e-01 3.431884612157902303e+00 -3.936842679188653493e-01
2.457793027518492046e+00 -1.279938298932309371e+00 4.245663573146513770e+00
1.217189411082768347e+00 -6.278499544384602560e-01 2.533406920798658035e+00
6.797519741307834762e-01 -2.661644306543027749e+00 3.370153347428271662e+00
3.235397509640388636e-01 7.077682920167402969e+00 3.063709656951530746e+00
-7.628606960533746983e-01 4.174891176990970898e+00 2.346706928501534950e+00
-5.467847718850021854e-02 4.127575507821222622e+00 2.754517160483923810e+00
1.724305490911236305e+00 5.875745561400469441e+00 2.481687027643699306e+00
1.383025355502461418e+00 3.101541999356827617e+00 1.084495373661236606e+00
-2.523936218674134868e-01 -3.033388081543825887e+00 1.420594668985326159e+00
-1.511995874236811810e+00 -3.586484317284798440e+00 5.717906983830562950e+00
1.466713971653181181e+00 4.798839999213857510e+00 5.394184019040265454e+00
3.290791971656598758e+00 2.364501962863217344e+00 2.455843825456651697e+00
1.108903209113487165e+00 3.837458069900682389e+00 2.201367770836052618e+00
1.034215906306777288e+00 1.818714673965459383e+00 5.770014149066515774e-01
9.339967360385127426e-01 4.946285133244016308e+00 2.155043355007629113e+00
2.117826666266985125e+00 4.486299852187632276e+00 2.721062370551015963e+00
1.014980431576165465e+00 5.799142591876620401e-01 3.137543417050497219e+00
1.049774379940253688e+00 1.729843410755343092e+00 3.910993694832681999e+00
1.307031562182255691e+00 2.758884402484925058e+00 1.530352474549220299e+00
1.304332854608009518e+00 4.063105003212996724e-02 3.816441550897398560e+00
2.527884908268772435e+00 2.809468366891790581e+00 2.283597540431511197e-01
2.186319949116233285e+00 -2.741343877282075070e+00 4.227850015438740172e+00
2.107509311782326922e+00 -2.779693048509130460e+00 1.497771644897337939e+00
6.511728726831871317e-01 2.908552573661908003e+00 1.787383883301883802e+00
1.189362786327348598e+00 6.583779618597048966e+00 4.634651482557169189e+00
2.583521618359595706e+00 -1.787099858831224575e+00 2.152837951699696717e+00
6.665550623006842867e-01 2.635135079018913196e-01 2.770640444524226531e+00
6.393624708926133327e-01 -4.313763276563767901e-01 4.574749971690336814e+00
1.992938956632358982e+00 -4.313128920613713113e+00 3.491779466418316602e+00
-1.469027441902571951e+00 4.997960710737051393e+00 6.943199748580142217e-01
-1.326661376423126537e+00 -3.491022232718427265e+00 4.144675008110615622e+00
1.514665024284350237e+00 -2.251778326940566899e+00 2.921739034980387562e+00
-1.872134312559072367e+00 -6.206989025578795172e-01 4.735068572104649265e-01
1.656942947500021024e+00 1.559176710941592825e+00 2.110776104298101696e+00
3.502826095403003048e+00 -3.696770848275747312e+00 5.438537986289387893e-01
-3.568103074839511502e-01 5.708901022751275534e+00 4.173759080489041651e+00
1.066112103220909102e+00 3.985002760292926105e+00 9.120957535491303059e-01
7.764462405223258035e-01 -2.582692567207575784e+00 1.761705810273274553e+00
-1.545557244695155319e+00 2.970330290305215115e+00 2.418444462910561921e+00
-5.507927343845521184e-01 4.187005193537113534e+00 2.629366166451279518e+00
1.818362212123875166e-02 -2.213364904656194287e+00 3.475598883579362308e+00
-1.657565796610084075e+00 4.980189020157261837e+00 1.029251174827052751e+00
3.110745323320654343e+00 4.897917204883230013e+00 1.168163519720711196e+00
2.651794510690274720e+00 2.329926211681108583e+00 1.362890614210814144e+00
-7.580035691863740155e-01 5.475584480013379718e+00 4.296994338169930927e+00
2.821706099638076282e+00 6.107357100625007362e+00 1.474277295320949088e+00
2.221249317168149773e+00 3.559633826474546403e+00 1.943060047412365821e+00
4.177072449353301131e+00 4.913410567962698927e+00 1.765502469108117589e+00
1.685040455406761284e+00 3.742134690060792135e-01 3.667129611536111611e+00
1.546920092187928253e+00 -2.739980311191206219e+00 1.261696282634229727e+00
-3.721431561518089293e-01 4.415666937263720726e+00 4.396189173268852945e-01
4.127343348793811373e+00 -8.244466516875182949e-01 3.086989173186728053e+00
2.599172906262392946e+00 2.136377028838332581e+00 2.394530302478500294e-01
2.023955802207499044e+00 4.309443661077794197e+00 3.453040082604332817e+00
4.195108167943676136e+00 -3.012910409162629755e+00 1.413879380278435516e+00
3.584579094728261417e+00 5.795378914421638328e+00 4.033972835885240471e+00
-3.610226259609732313e-01 -3.044565139380138508e+00 3.045334466889683789e+00
4.452792116662691591e-01 2.241360387321361891e+00 1.089839917183541562e+00
-1.690230353554064369e+00 3.504733139479058401e+00 3.691392123084627386e+00
-2.391712394010608200e+00 5.149800130059103864e+00 1.284390744440866428e-01
9.175233114392375988e-01 -1.709821404622321683e+00 3.426471145246767769e+00
-5.805458807880575778e-02 3.620488572172375186e+00 2.081486259970462438e+00
1.666739945146535007e+00 -1.424005172000915254e+00 2.509468109615502041e+00
2.967944122483469727e+00 4.151865098122290654e+00 8.505554404204349606e-01
1.254963947970995308e+00 -1.369055807632991950e+00 2.780393149182547763e+00
1.561410062578384661e+00 3.325174453867859814e+00 1.468837458651475858e+00
-1.942284546199443129e+00 2.934612086245452112e+00 2.384531855122445254e+00
-2.125415261713328730e-01 -2.375150722783890167e+00 3.631929336490294258e+00
2.031310287743603726e-01 -8.563677778933889151e-01 3.076462254533854690e+00
1.053632492701328527e+00 5.604702270661031882e+00 7.827867372250287836e-01
-1.045618055397185664e+00 3.161427245063551439e+00 5.072152543627582943e+00
2.238716974656949521e+00 3.929599457206966573e+00 2.129509993908013765e+00
1.337451343159402617e+00 4.737468085366607795e+00 2.674573752102139323e+00
2.758314767074947937e+00 4.779201245335664261e+00 3.436555757104105879e+00
-1.994924623789395390e+00 3.781919103459161047e+00 2.289790975088847436e+00
-4.882043637770659417e-01 5.913235342260407812e-01 8.472361328722185503e-01
-6.113916269426500349e-01 -2.759228751626604748e+00 5.955007770595587280e-01
2.499768000859647010e+00 5.355349339196035174e+00 1.429051496605326488e+00
-1.124972818744613967e+00 -2.129240329970921053e+00 2.215168194313537509e+00
1.314642573899700295e+00 6.387505300965281130e+00 5.076357753810579965e+00
-1.211493497148579124e+00 -3.934011808013386347e+00 5.105954385847113031e+00
1.960953022988647820e+00 -8.926761512069134596e-01 -1.757402626065566631e+00
6.786717333164264954e-01 4.445075777913610082e+00 3.338511041681745395e-01
-5.832663802485413829e-01 -2.128756078088679615e+00 1.717758547206220010e+00
-3.960762896491635265e-01 -5.931253027644093345e-01 1.971094348712836730e+00
2.598334130233779682e+00 3.356723344774306561e+00 1.693260834253220715e+00
1.172839040310301728e+00 -2.233017760495996651e+00 3.327076845628518686e+00
2.018393794030503674e+00 3.215391259753013653e+00 -1.977841165970561921e-02
2.685371105361446187e+00 2.451548596917910938e+00 2.658779983199201169e+00
2.128123690145550917e+00 5.188607058550169349e+00 1.509479306476692706e+00
9.141688612095438815e-01 3.166981036810641026e+00 1.980141380005644436e+00
2.923038764523143040e+00 7.575266017366197868e-01 2.085768793990742331e+00
1.960706569603577254e+00 2.149940565390708436e+00 2.601073285885842523e+00
-6.803049305961808013e-01 4.382034946339851800e+00 9.459230268459075663e-01
1.118815262414395217e+00 -2.993101329090709584e+00 4.236967174203177144e+00
1.445871631022847215e+00 3.022643718495802823e+00 -1.774217202318240538e+00
2.983464610548844487e+00 -3.988926926456449529e+00 2.685328549155634459e+00
1.718884518094934810e+00 -2.747595738068864701e+00 7.442058452277268144e-01
-4.326928294878757963e-01 -2.094483766231104993e-01 3.047561047344512719e+00
2.703135913143079327e-01 3.978362972543416642e+00 2.723357397775073352e+00
3.932871584592898095e+00 -7.688236053558916705e-01 3.456755996103306749e+00
8.831778051385748007e-01 -4.222650936315333503e+00 1.714502503736906158e+00
1.213202709882656549e+00 -1.535795121971753607e+00 4.966972363938119805e+00
1.045664840661630457e+00 -1.231132430425855517e+00 4.506423142996071718e+00
-4.706479420540975456e-01 3.129843593707102301e+00 1.889683572892545849e+00
9.405944162196114844e-01 4.870290025436240233e-01 1.807978481885232913e+00
3.004414668128246313e-01 -1.768964317638574535e+00 5.609555469170731890e+00
6.220300645629488479e-01 -2.899766837642042683e-01 9.486077495084347388e-01
1.371115052899311015e-01 -2.594106087206500266e-01 1.904491519888027895e+00
3.143030150219177976e+00 2.477753227756547272e-01 3.996228009625559796e+00
-7.597628102397853134e-01 3.835348950759850162e+00 1.818766997187153622e+00
6.172013121826054327e-01 5.953276721279059380e+00 3.038163117516774037e+00
-1.180417132155872739e+00 6.350585099602096939e+00 1.021093744607971088e+00
1.055024407566206301e+00 -1.326034629298691980e+00 1.998943653020718969e+00
2.212753820473615907e+00 -4.267271080678682438e+00 2.313099801058822180e+00
3.465596272831303004e+00 5.906551426422403495e+00 1.375188815655796093e+00
3.208648369239894826e+00 7.147621091494264611e+00 3.823436878172353559e+00
9.389282129826910239e-01 1.821120571065860672e+00 2.760412709804692000e+00
1.850700598176435507e+00 3.704613783554077333e+00 2.610351353204155789e+00
-4.865713125573045694e-01 -3.703911760508443507e+00 2.950668298662929345e+00
8.838304754030239518e-01 4.142829413011628326e+00 9.758609386051881884e-01
1.321559701139290999e-02 -2.870627653838146554e+00 3.740374457080092085e+00
3.319037980858278392e+00 -1.400808293175037633e-02 3.709278335494595957e+00
3.210304021658215490e+00 5.085742949861960405e+00 2.973158310529614212e+00
1.750352038324352710e+00 -2.026121660500220134e+00 3.638519005509802451e+00
3.032753587983177290e+00 3.539022464240671351e+00 2.542571945127156674e+00
1.698965416206594359e+00 -1.050076367364633390e+00 3.570094197929859270e+00
9.370335867303183353e-01 -1.698406753030470950e+00 4.033212534595628007e+00
2.323914205443636583e+00 -6.879555411355793293e-01 1.322338874794800390e+00
-2.136363963681716660e-01 -2.439340738344148551e+00 1.956793675047823866e+00
7.428445327453758740e-01 -3.103989611212002675e+00 3.287855694211791580e+00
-1.001323725920606256e+00 3.747731322617709804e+00 6.368438280984407562e-01
4.032566451797647278e-01 3.967398926070929477e+00 1.601892925750272534e+00
-5.546154359227201125e-01 -2.798774262447534245e-01 3.649841285327629414e+00
9.379181743869458021e-02 -8.807473108034435949e-01 2.693044873733413169e+00
-2.859896104470380784e-01 -1.525031329539175973e+00 2.677972579697557975e+00
9.920201096277257991e-01 6.982593068307142659e+00 2.245635660488307206e+00
2.890383097555776271e+00 6.291308406778613360e+00 2.363266367099817078e+00
1.982125754012859842e+00 3.242528781182524522e+00 2.114917623312620343e+00
-8.038037306454038911e-01 -3.609885675699723850e-01 2.481320066423583715e+00
-8.425433910802138104e-03 5.195556953633650998e-02 5.230454053658390556e+00
3.896403817698409489e-01 1.525239802809824630e+00 4.499149124741506078e+00
5.557368357697314298e-01 3.756747010860861824e+00 2.290323304341423505e+00
3.239583058371647617e+00 -2.937309367157713069e+00 1.927968203679615744e+00
-1.476078057034700297e+00 1.838498828652054717e+00 7.836898983936082530e-01
9.445649804792914939e-01 -1.665072185259839799e+00 4.951046315224749250e+00
-1.156609728914160584e+00 7.300721447073398096e+00 7.704435590815632562e-01
1.857159147646233688e+00 3.545749851551775134e+00 8.315802084419205986e-01
6.997488269936069649e-03 -4.544724492088969114e+00 3.802437669695208022e+00
3.036901787966836519e+00 -1.227102907552822253e-01 3.935452409593827916e+00
2.873886835679643870e+00 4.621032846546206940e+00 9.978854926717095619e-01
2.050819626537149887e+00 -2.158895394208926621e+00 2.213916156914462086e+00
1.010709711958422297e+00 4.287068909685627816e+00 2.072515871237971208e+00
4.594950597862117014e+00 2.863030754998668215e+00 8.655914773713699883e-01
4.075487342266109758e-01 1.690253030734544026e+00 1.004033902644039244e-01
2.817381690879970257e+00 -2.855853736283334943e+00 3.519210779989303983e+00
