# enthalpy_of_formation, melting_point, unit_cell_volume
-8.978228827163070491e+02 1.004421177590190837e+03 1.012474624240474513e+05
-8.982829747570320933e+02 1.005268759025042755e+03 1.012456993324084906e+05
-8.999715855584612427e+02 1.004549680186127262e+03 1.012481997495553223e+05
-8.986188733890423919e+02 1.003603519008369176e+03 1.012459299083517399e+05
-8.987913087829081178e+02 1.004871031106851660e+03 1.012467235888999858e+05
-8.984473786281181447e+02 9.987621894815276846e+02 1.012499625402714300e+05
-8.986356552611089228e+02 1.004717188338424421e+03 1.012502078416016157e+05
-8.999487878900152964e+02 9.999232480035277604e+02 1.012496799841254251e+05
-8.979337595098625115e+02 9.962086035776756034e+02 1.012485017951737100e+05
-8.999003270541787742e+02 9.970387083531296639e+02 1.012491666775453195e+05
-9.001649139185692547e+02 9.984494271610965370e+02 1.012481802870993124e+05
-8.990053819459952820e+02 1.006657676749252232e+03 1.012490909110580105e+05
-8.969186244123068263e+02 9.985563343249438049e+02 1.012511452706593846e+05
-8.995425639223960843e+02 9.998489282999519219e+02 1.012488323179598374e+05
-8.992390991890280247e+02 1.003730749154022760e+03 1.012485945241207955e+05
-8.977010667173124148e+02 9.963858380826717394e+02 1.012502213917755580e+05
-8.976294722542342015e+02 1.005177124214545302e+03 1.012449133629146236e+05
-8.974780725203301017e+02 1.001232801907861472e+03 1.012462153350323351e+05
-8.976584615593146737e+02 1.004779614650235317e+03 1.012492347594645980e+05
-9.001986467189891528e+02 9.960105411435633869e+02 1.012493313820853364e+05
-8.982301620639518660e+02 1.004937730260011676e+03 1.012460155964331789e+05
-8.978450241812067816e+02 1.004217583049750374e+03 1.012474684419431724e+05
-8.995358441564934537e+02 9.954751367734030509e+02 1.012471988816215744e+05
-8.980689913401502054e+02 9.988850667921967670e+02 1.012480124516072974e+05
-9.001844832834196950e+02 9.977999454671198691e+02 1.012463016006264952e+05
-8.986665751997049938e+02 1.002194842953046532e+03 1.012471701810526283e+05
-8.984380671694419789e+02 9.988006915964730297e+02 1.012484015875766345e+05
-9.016871787161364864e+02 1.001169405067466982e+03 1.012483825749692915e+05
-9.005676794201650637e+02 9.975887261029602087e+02 1.012456494849810406e+05
-8.985700220748437914e+02 1.003352304186926972e+03 1.012475111557724595e+05
-8.984125371670918412e+02 1.003148913215780340e+03 1.012488641413083678e+05
-8.988151600320261423e+02 9.997938627855437517e+02 1.012482367617175623e+05
-8.969090150838914042e+02 9.978300428883993618e+02 1.012479611214266333e+05
-8.983646423695566909e+02 1.004553797570507186e+03 1.012490078146767628e+05
-9.000324205931174220e+02 1.003764457585137507e+03 1.012468355480983737e+05
-9.007777606706821416e+02 9.984201508773737714e+02 1.012492796882076655e+05
-9.004468909238903507e+02 9.955289979730669074e+02 1.012512951130523579e+05
-8.962493430514340389e+02 1.003982537343148238e+03 1.012473067425644404e+05
-8.996123134186780135e+02 9.997345727452484425e+02 1.012488702353585104e+05
-8.998020802280907446e+02 1.003173230628177521e+03 1.012482618022602983e+05
-9.012727468421958292e+02 1.002403956755805439e+03 1.012477966724942380e+05
-8.969523075857390495e+02 9.991006930037418670e+02 1.012495712015002791e+05
-8.994725266767452467e+02 9.968540812377406155e+02 1.012487465439341613e+05
-9.003554001264074031e+02 1.005708385142777047e+03 1.012472668066317856e+05
-8.983621805605437203e+02 1.004571976626048126e+03 1.012468561339221196e+05
-8.976159725795348550e+02 9.981930323190633771e+02 1.012463911063781998e+05
-8.990363029257990775e+02 9.994376778047869720e+02 1.012498002196550078e+05
-8.997406909275142652e+02 1.003584303606436492e+03 1.012489858049689501e+05
-8.992970970971384759e+02 1.003999442066298343e+03 1.012478904433524585e+05
-8.981776473711228164e+02 9.992779907676283528e+02 1.012495249254447554e+05
-8.987834557704057943e+02 1.000793643232264344e+03 1.012488274509608746e+05
-8.995122341246838005e+02 1.005009437044718084e+03 1.012485224381287699e+05
-8.976808395121186095e+02 1.006366233427037855e+03 1.012460569500395504e+05
-8.994704162405561192e+02 1.003840267873877679e+03 1.012455412618119444e+05
-8.997191238834226397e+02 1.005026009538108610e+03 1.012457440719997685e+05
-8.991346169208741230e+02 1.003315957877240862e+03 1.012472839165725163e+05
-9.024566599814752408e+02 1.004681013949980752e+03 1.012450306575797440e+05
-8.988768857033345512e+02 1.003631539283427401e+03 1.012470812606298423e+05
-8.965736478860731040e+02 9.960010266772287650e+02 1.012493659527513228e+05
-8.956190979854720808e+02 1.002122238815550190e+03 1.012481239052973833e+05
-9.004007370761820539e+02 1.004682532268063710e+03 1.012492857502173283e+05
-9.000468119804722846e+02 9.974931689338862952e+02 1.012490356532990991e+05
-8.996019645620169740e+02 1.001901033253989567e+03 1.012467244961086544e+05
-9.013981375174561208e+02 1.005219356396109220e+03 1.012462719786347589e+05
-8.978753699291798966e+02 9.980547245741232700e+02 1.012510652338975051e+05
-9.020401597727668559e+02 9.963034643908031285e+02 1.012482393568479747e+05
-8.990407130008462673e+02 9.993632948661829687e+02 1.012489331605393963e+05
-8.999197040249015345e+02 1.003946904732844359e+03 1.012459191761579568e+05
-8.997637097464968292e+02 1.003489495113423345e+03 1.012486793425908254e+05
-8.994838785854940397e+02 1.003694332631780753e+03 1.012467592000347795e+05
-8.966345737898273001e+02 1.003915928379933234e+03 1.012485177643903735e+05
-8.971415605724401985e+02 9.977719344723392396e+02 1.012476276521839463e+05
-8.997452705991446464e+02 1.007759662373974379e+03 1.012464652437873592e+05
-9.007995508817434711e+02 1.000315028970453341e+03 1.012489647468079638e+05
-9.012314824326489315e+02 1.006775989725759700e+03 1.012483016091546742e+05
-8.973027320754395078e+02 9.991573255405187410e+02 1.012483815137133788e+05
-8.992936171751720167e+02 1.002697658395182543e+03 1.012496369451118226e+05
-8.987649732967141745e+02 1.004335380359461510e+03 1.012482044492069690e+05
-8.996284953419133217e+02 1.006137454933022013e+03 1.012483676799885579e+05
-8.970044932018737427e+02 9.978762278388918503e+02 1.012500917505825928e+05
-9.001172969096455745e+02 1.004598623428541600e+03 1.012485874040611088e+05
-8.996602063529203406e+02 1.005597681344441071e+03 1.012440718388819660e+05
-8.980984000898636168e+02 1.004316729175824776e+03 1.012488457738341240e+05
-9.016734055141355384e+02 9.992135621180653970e+02 1.012496484052503074e+05
-9.013458556144476006e+02 1.002262648347312052e+03 1.012515727643436257e+05
-8.975043631019150325e+02 9.999510722501879627e+02 1.012500682617658167e+05
-9.017150738286881051e+02 1.006293479790996912e+03 1.012466083578851249e+05
-9.006632351851898193e+02 9.979996913016992721e+02 1.012498530626754800e+05
-8.992810494182868979e+02 1.005461473154268901e+03 1.012492905237523810e+05
-8.984945050117119081e+02 1.004074625692130212e+03 1.012461072374381911e+05
-8.993013104279675645e+02 1.003092314596023925e+03 1.012458854654720926e+05
-9.003410154356686235e+02 1.005352858052830129e+03 1.012464634340902558e+05
-9.005544595165589499e+02 9.991886981253134081e+02 1.012483839550217672e+05
-9.002633877294420017e+02 1.004156108540810237e+03 1.012470600500918808e+05
-8.979029474201465746e+02 1.002520369894642727e+03 1.012492151469875389e+05
-8.989288369301530111e+02 1.004538547134396481e+03 1.012484035390757344e+05
-8.991260923294404392e+02 1.006873801409922407e+03 1.012469381352883647e+05
-9.006245752016636743e+02 9.975695982064037253e+02 1.012502999948580400e+05
-9.014445766927904060e+02 1.003984676907127437e+03 1.012467120676796476e+05
-8.991391604755256139e+02 9.972193118855557259e+02 1.012475047418780159e+05
-9.009432636812598503e+02 1.003425640521031710e+03 1.012476627993528673e+05
-8.998687256119104632e+02 9.996351884653788602e+02 1.012462056663715921e+05
-8.973733034141229155e+02 1.006250820285937721e+03 1.012520996036002762e+05
-8.992979959407371098e+02 1.001205968633568773e+03 1.012488044065554568e+05
-8.986643557816689736e+02 1.003749085577992673e+03 1.012495140712051361e+05
-8.986050862748647887e+02 1.004812143515272282e+03 1.012510868328636570e+05
-8.989458118277592575e+02 1.005397423170714660e+03 1.012482487418875680e+05
-9.004228412876450420e+02 1.002409184803794915e+03 1.012487340011603956e+05
-9.022322888091928235e+02 9.985332031715997800e+02 1.012484262498853786e+05
-9.002432194042846731e+02 1.004715561864034271e+03 1.012467188948969415e+05
-8.997042830477623738e+02 9.979981130441999539e+02 1.012498132419832109e+05
-8.983043743815512698e+02 1.000363949254341378e+03 1.012487672920062323e+05
-9.009079391283617042e+02 9.990986612412294789e+02 1.012499497043480951e+05
-8.975280529502658737e+02 1.004349690063956132e+03 1.012479508051537559e+05
-8.970301356516439455e+02 1.003077547681024043e+03 1.012459532465818775e+05
-9.002614941645293811e+02 9.997961808858226505e+02 1.012470389922490867e+05
-8.975985972951650638e+02 1.004076751515001888e+03 1.012479004392437346e+05
-8.970054919484319953e+02 9.985558530189484827e+02 1.012493663484455028e+05
-8.990385277290173462e+02 1.000769494513321320e+03 1.012490565538645315e+05
-8.998224648002670847e+02 1.005271370237638166e+03 1.012495730311709340e+05
-9.014481932923217755e+02 9.985010370427701218e+02 1.012504993697236932e+05
-8.980635326323071013e+02 1.001878353260982067e+03 1.012480187783348374e+05
-8.996030227805923687e+02 9.984429023309617151e+02 1.012500804171561613e+05
-9.006056726174310825e+02 1.005534159083435384e+03 1.012487499630154052e+05
-8.984111448485101619e+02 9.978716167499335370e+02 1.012474611262640974e+05
-8.990871156489445184e+02 1.002869869826709191e+03 1.012475362948578841e+05
-8.995456727053348231e+02 1.002273704040226789e+03 1.012465063028685981e+05
-8.958254998055978149e+02 1.005708455916195135e+03 1.012480026247561327e+05
-8.993574454368178976e+02 1.003015407465736871e+03 1.012481316989369516e+05
-8.993546576742127172e+02 9.990399611393858095e+02 1.012509044203863305e+05
-8.958159893202023341e+02 9.999485502804618591e+02 1.012487894598299899e+05
-8.990817136090587383e+02 9.957060442413360306e+02 1.012483762125592330e+05
-9.012473232280901811e+02 9.983806389085198134e+02 1.012467687790264317e+05
-8.990588645789856628e+02 1.005922579419617136e+03 1.012450489439481753e+05
-8.988991543452771111e+02 9.985408447706863626e+02 1.012517069017621106e+05
-9.015417624656964790e+02 1.004626235713387587e+03 1.012482010963694338e+05
-8.998847986050179770e+02 9.983634165178557396e+02 1.012469718127773958e+05
-8.985456384420390350e+02 1.005589033245302403e+03 1.012470787291314919e+05
-8.963989729953761980e+02 9.981606683321356286e+02 1.012512794391175557e+05
-8.973337760382937631e+02 1.002683890064903267e+03 1.012463340645428107e+05
-8.987914302196015797e+02 9.989346948487972213e+02 1.012491567579638941e+05
-8.998182657456668494e+02 9.991726653483510745e+02 1.012487762935017236e+05
-8.964794575622112234e+02 1.004281500772416393e+03 1.012492873764269752e+05
-8.983651654849454644e+02 1.003974475784951551e+03 1.012464292125904176e+05
-9.001822471382748745e+02 9.971327343833067971e+02 1.012486838464248285e+05
-8.996040361917295058e+02 1.003538348217997964e+03 1.012483311557629495e+05
-8.977202846911083043e+02 1.004719095186217601e+03 1.012465986106657656e+05
-9.003610304443253654e+02 9.999582780625969463e+02 1.012468707449162030e+05
-8.996825142041567460e+02 1.004575794971275172e+03 1.012473010424704698e+05
-8.997600480271139531e+02 9.979178497400075685e+02 1.012474789991723665e+05
-9.008151884688678592e+02 9.965066404311162387e+02 1.012466185006811866e+05
-8.997480292078907951e+02 1.000197165061828855e+03 1.012493641537922667e+05
-8.995530545184401490e+02 9.979405528901950220e+02 1.012460793394213542e+05
-8.975587713667279104e+02 1.004838336923210022e+03 1.012491151272737188e+05
-8.985258512322451452e+02 9.999876637689956169e+02 1.012474099144528154e+05
-8.989560288983054761e+02 1.007813224536478401e+03 1.012476406182539067e+05
-8.984428092083609272e+02 1.000920440983345088e+03 1.012465215072559804e+05
-8.996133748558789875e+02 9.965783366186503827e+02 1.012447518435431994e+05
-8.986766820084870915e+02 9.980498021717423853e+02 1.012471805774835520e+05
-8.978533602308652917e+02 9.989636953004596762e+02 1.012513652784026344e+05
-8.991894640290523739e+02 1.001812737609644500e+03 1.012482279893311497e+05
-9.010359750098280074e+02 1.005019134880831757e+03 1.012482779418934952e+05
-8.985137824457516444e+02 1.004280264160044567e+03 1.012482966597738850e+05
-9.006699749036088178e+02 1.006872245159463318e+03 1.012468670949905936e+05
-8.984341355204833235e+02 1.002895314968431649e+03 1.012495807990085450e+05
-9.000352289124396066e+02 1.004351533164859916e+03 1.012471014984038629e+05
-8.999247162579401902e+02 1.006632152097521157e+03 1.012484856242534297e+05
-9.000554863379965127e+02 1.002482671222807198e+03 1.012473938835729932e+05
-8.967802361379939384e+02 9.983804810345911847e+02 1.012482476278808317e+05
-8.997143584036218726e+02 1.001135083828238066e+03 1.012483281524691993e+05
-8.990996352328960484e+02 1.003527508763682818e+03 1.012465870227323903e+05
-9.011619001664884081e+02 9.968714829702494171e+02 1.012515597814524663e+05
-8.984964923088081150e+02 1.001378164680381929e+03 1.012467400239671842e+05
-8.990275504401623721e+02 1.000495149657415141e+03 1.012502794304583222e+05
-8.997202364586067915e+02 1.005836473205831453e+03 1.012472264565113001e+05
-8.992946993011036056e+02 9.980654386370420070e+02 1.012492436517102906e+05
-9.001671176132812207e+02 9.984993694066954504e+02 1.012494033209082554e+05
-9.007139686345885821e+02 1.003207770698151080e+03 1.012474779478076671e+05
-9.005923784031967898e+02 1.001536204211518452e+03 1.012489750592616037e+05
-9.005770136156805847e+02 9.971256130296301308e+02 1.012501209598694404e+05
-9.001722832131706582e+02 1.005137467773572666e+03 1.012480707914932864e+05
-9.004322577301462616e+02 9.982520654899037709e+02 1.012505075917037320e+05
-9.001217259038783141e+02 9.976266191222543966e+02 1.012492589011865493e+05
-8.994910587196445704e+02 1.004388035340793067e+03 1.012463075427602598e+05
-8.985356975854659822e+02 9.988328966456210765e+02 1.012491563202725229e+05
-9.013493739390787596e+02 1.004929765558996110e+03 1.012466387147851929e+05
-8.981303846535472530e+02 9.967645836971025801e+02 1.012470962801869027e+05
-8.995449059002013428e+02 1.003431884612157887e+03 1.012456063157320896e+05
-8.975422069724814946e+02 9.987200617010677206e+02 1.012502456635731505e+05
-8.987828105889171866e+02 9.993721500455615114e+02 1.012485334069207893e+05
-8.993202480258692049e+02 9.973383556934569469e+02 1.012493701533474377e+05
-8.996764602490359266e+02 1.007077682920167376e+03 1.012490637096569408e+05
-9.007628606960533943e+02 1.004174891176990968e+03 1.012483467069285107e+05
-9.000546784771885314e+02 1.004127575507821234e+03 1.012487545171604870e+05
-8.982756945090887939e+02 1.005875745561400436e+03 1.012484816870276409e+05
-8.986169746444975317e+02 1.003101541999356868e+03 1.012470844953736523e+05
-9.002523936218674407e+02 9.969666119184562376e+02 1.012474205946689763e+05
-9.015119958742368453e+02 9.964135156827152286e+02 1.012517179069838312e+05
-8.985332860283467653e+02 1.004798839999213897e+03 1.012513941840190382e+05
-8.967092080283433688e+02 1.002364501962863187e+03 1.012484558438254462e+05
-8.988910967908865359e+02 1.003837458069900663e+03 1.012482013677708455e+05
-8.989657840936931734e+02 1.001818714673965474e+03 1.012465770014149020e+05
-8.990660032639615338e+02 1.004946285133244032e+03 1.012481550433550146e+05
-8.978821733337330215e+02 1.004486299852187585e+03 1.012487210623705469e+05
-8.989850195684238088e+02 1.000579914259187717e+03 1.012491375434170477e+05
-8.989502256200597685e+02 1.001729843410755393e+03 1.012499109936948225e+05
-8.986929684378177399e+02 1.002758884402484910e+03 1.012475303524745395e+05
-8.986956671453920080e+02 1.000040631050032061e+03 1.012498164415508945e+05
-8.974721150917312116e+02 1.002809468366891792e+03 1.012462283597540518e+05
-8.978136800508837041e+02 9.972586561227178663e+02 1.012502278500154353e+05
-8.978924906882176629e+02 9.972203069514908975e+02 1.012474977716449066e+05
-8.993488271273167811e+02 1.002908552573661837e+03 1.012477873838833038e+05
-8.988106372136726350e+02 1.006583779618597077e+03 1.012506346514825564e+05
-8.974164783816404451e+02 9.982129001411688023e+02 1.012481528379516967e+05
-8.993334449376993689e+02 1.000263513507901962e+03 1.012487706404445344e+05
-8.993606375291074073e+02 9.995686236723436195e+02 1.012505747499716817e+05
-8.980070610433676848e+02 9.956868710793862647e+02 1.012494917794664216e+05
-9.014690274419025400e+02 1.004997960710737061e+03 1.012466943199748639e+05
-9.013266613764230897e+02 9.965089777672815217e+02 1.012501446750081086e+05
-8.984853349757156593e+02 9.977482216730594473e+02 1.012489217390349804e+05
-9.018721343125590693e+02 9.993793010974420667e+02 1.012464735068572045e+05
-8.983430570524999439e+02 1.001559176710941529e+03 1.012481107761042949e+05
-8.964971739045970480e+02 9.963032291517242811e+02 1.012465438537986192e+05
-9.003568103074840110e+02 1.005708901022751206e+03 1.012501737590804987e+05
-8.989338878967790833e+02 1.003985002760292900e+03 1.012469120957535488e+05
-8.992235537594776815e+02 9.974173074327924269e+02 1.012477617058102769e+05
-9.015455572446951464e+02 1.002970330290305242e+03 1.012484184444629063e+05
-9.005507927343845722e+02 1.004187005193537061e+03 1.012486293661664531e+05
-8.999818163778787721e+02 9.977866350953438541e+02 1.012494755988835823e+05
-9.016575657966101289e+02 1.004980189020157241e+03 1.012470292511748266e+05
-8.968892546766793430e+02 1.004897917204883242e+03 1.012471681635197310e+05
-8.973482054893097484e+02 1.002329926211681141e+03 1.012473628906142112e+05
-9.007580035691863714e+02 1.005475584480013367e+03 1.012502969943381613e+05
-8.971782939003619504e+02 1.006107357100624995e+03 1.012474742772953177e+05
-8.977787506828318556e+02 1.003559633826474510e+03 1.012479430600474152e+05
-8.958229275506466820e+02 1.004913410567962728e+03 1.012477655024691048e+05
-8.983149595445931936e+02 1.000374213469006008e+03 1.012496671296115383e+05
-8.984530799078120253e+02 9.972600196888088249e+02 1.012472616962826287e+05
-9.003721431561517647e+02 1.004415666937263723e+03 1.012464396189173276e+05
-8.958726566512061709e+02 9.991755533483124054e+02 1.012490869891731854e+05
-8.974008270937375755e+02 1.002136377028838297e+03 1.012462394530302554e+05
-8.979760441977924756e+02 1.004309443661077808e+03 1.012494530400826043e+05
-8.958048918320563416e+02 9.969870895908373996e+02 1.012474138793802704e+05
-8.964154209052717306e+02 1.005795378914421690e+03 1.012500339728358958e+05
-9.003610226259609135e+02 9.969554348606197891e+02 1.012490453344668931e+05
-8.995547207883337251e+02 1.002241360387321379e+03 1.012470898399171856e+05
-9.016902303535540568e+02 1.003504733139479072e+03 1.012496913921230880e+05
-9.023917123940105967e+02 1.005149800130059134e+03 1.012461284390744404e+05
-8.990824766885607460e+02 9.982901785953777107e+02 1.012494264711452415e+05
-9.000580545880787895e+02 1.003620488572172349e+03 1.012480814862599655e+05
-8.983332600548534401e+02 9.985759948279990112e+02 1.012485094681096089e+05
-8.970320558775165409e+02 1.004151865098122244e+03 1.012468505554404110e+05
-8.987450360520290360e+02 9.986309441923669965e+02 1.012487803931491799e+05
-8.984385899374216251e+02 1.003325174453867930e+03 1.012474688374586549e+05
-9.019422845461994029e+02 1.002934612086245465e+03 1.012483845318551175e+05
-9.002125415261713215e+02 9.976248492772160716e+02 1.012496319293364941e+05
-8.997968689712256491e+02 9.991436322221065893e+02 1.012490764622545394e+05
-8.989463675072986462e+02 1.005604702270661051e+03 1.012467827867372253e+05
-9.010456180553971990e+02 1.003161427245063578e+03 1.012510721525436384e+05
-8.977612830253430047e+02 1.003929599457206905e+03 1.012481295099939161e+05
-8.986625486568406131e+02 1.004737468085366572e+03 1.012486745737520978e+05
-8.972416852329250787e+02 1.004779201245335685e+03 1.012494365557571000e+05
-9.019949246237894158e+02 1.003781919103459131e+03 1.012482897909750900e+05
-9.004882043637770721e+02 1.000591323534226035e+03 1.012468472361328750e+05
-9.006113916269426909e+02 9.972407712483734485e+02 1.012465955007770681e+05
-8.975002319991403965e+02 1.005355349339195982e+03 1.012474290514966124e+05
-9.011249728187445953e+02 9.978707596700290878e+02 1.012482151681943214e+05
-8.986853574261002677e+02 1.006387505300965358e+03 1.012510763577538019e+05
-9.012114934971485809e+02 9.960659881919866621e+02 1.012511059543858573e+05
-8.980390469770113668e+02 9.991073238487931576e+02 1.012442425973739300e+05
-8.993213282666836221e+02 1.004445075777913644e+03 1.012463338511041657e+05
-9.005832663802485740e+02 9.978712439219112866e+02 1.012477177585472091e+05
-9.003960762896491588e+02 9.994068746972355939e+02 1.012479710943487153e+05
-8.974016658697662479e+02 1.003356723344774309e+03 1.012476932608342613e+05
-8.988271609596896496e+02 9.977669822395039319e+02 1.012493270768456277e+05
-8.979816062059694559e+02 1.003215391259753005e+03 1.012459802215883392e+05
-8.973146288946385312e+02 1.002451548596917974e+03 1.012486587799832050e+05
-8.978718763098544287e+02 1.005188607058550133e+03 1.012475094793064782e+05
-8.990858311387904678e+02 1.003166981036810625e+03 1.012479801413800160e+05
-8.970769612354768014e+02 1.000757526601736572e+03 1.012480857687940006e+05
-8.980392934303964694e+02 1.002149940565390693e+03 1.012486010732858849e+05
-9.006803049305962077e+02 1.004382034946339900e+03 1.012469459230268549e+05
-8.988811847375856132e+02 9.970068986709093224e+02 1.012502369671742053e+05
-8.985541283689771035e+02 1.003022643718495829e+03 1.012442257827976719e+05
-8.970165353894511782e+02 9.960110730735435709e+02 1.012486853285491525e+05
-8.982811154819050898e+02 9.972524042619311331e+02 1.012467442058452289e+05
-9.004326928294879053e+02 9.997905516233768140e+02 1.012490475610473368e+05
-8.997296864086856658e+02 1.003978362972543437e+03 1.012487233573977719e+05
-8.960671284154070690e+02 9.992311763946440806e+02 1.012494567559960997e+05
-8.991168221948614701e+02 9.957773490636845963e+02 1.012477145025037462e+05
-8.987867972901173061e+02 9.984642048780282266e+02 1.012509669723639381e+05
-8.989543351593383704e+02 9.987688675695741267e+02 1.012505064231430006e+05
-9.004706479420541427e+02 1.003129843593707164e+03 1.012478896835728956e+05
-8.990594055837804035e+02 1.000487029002543636e+03 1.012478079784818838e+05
-8.996995585331872007e+02 9.982310356823613802e+02 1.012516095554691710e+05
-8.993779699354370223e+02 9.997100233162357199e+02 1.012469486077495094e+05
-8.998628884947100914e+02 9.997405893912793999e+02 1.012479044915198901e+05
-8.968569698497808531e+02 1.000247775322775624e+03 1.012499962280096224e+05
-9.007597628102397493e+02 1.003835348950759908e+03 1.012478187669971958e+05
-8.993827986878173988e+02 1.005953276721279053e+03 1.012490381631175114e+05
-9.011804171321558670e+02 1.006350585099602085e+03 1.012470210937446100e+05
-8.989449755924338206e+02 9.986739653707013531e+02 1.012479989436530159e+05
-8.977872461795263916e+02 9.957327289193212891e+02 1.012483130998010602e+05
-8.965344037271686375e+02 1.005906551426422425e+03 1.012473751888156548e+05
-8.967913516307601185e+02 1.007147621091494329e+03 1.012498234368781705e+05
-8.990610717870173403e+02 1.001821120571065876e+03 1.012487604127098020e+05
-8.981492994018235549e+02 1.003704613783554123e+03 1.012486103513532144e+05
-9.004865713125573166e+02 9.962960882394916098e+02 1.012489506682986685e+05
-8.991161695245970122e+02 1.004142829413011668e+03 1.012469758609386045e+05
-8.999867844029886328e+02 9.971293723461618583e+02 1.012497403744570765e+05
-8.966809620191417025e+02 9.999859919170683042e+02 1.012497092783355038e+05
-8.967896959783417969e+02 1.005085742949861924e+03 1.012489731583105313e+05
-8.982496479616756915e+02 9.979738783394998336e+02 1.012496385190055007e+05
-8.969672464120168343e+02 1.003539022464240702e+03 1.012485425719451305e+05
-8.983010345837933528e+02 9.989499236326353184e+02 1.012495700941979303e+05
-8.990629664132696917e+02 9.983015932469695599e+02 1.012500332125345885e+05
-8.976760857945563430e+02 9.993120444588644204e+02 1.012473223388748011e+05
-9.002136363963682015e+02 9.975606592616559283e+02 1.012479567936750536e+05
-8.992571554672546199e+02 9.968960103887879995e+02 1.012492878556942160e+05
-9.010013237259206562e+02 1.003747731322617710e+03 1.012466368438281061e+05
-8.995967433548202052e+02 1.003967398926070928e+03 1.012476018929257407e+05
-9.005546154359227558e+02 9.997201225737552477e+02 1.012496498412853252e+05
-8.999062081825612722e+02 9.991192526891966281e+02 1.012486930448737403e+05
-9.002859896104470181e+02 9.984749686704608393e+02 1.012486779725796951e+05
-8.990079798903723258e+02 1.006982593068307096e+03 1.012482456356604816e+05
-8.971096169024442588e+02 1.006291308406778626e+03 1.012483632663671015e+05
-8.980178742459871728e+02 1.003242528781182500e+03 1.012481149176233157e+05
-9.008038037306454271e+02 9.996390114324300384e+02 1.012484813200664212e+05
-9.000084254339108156e+02 1.000051955569536403e+03 1.012512304540536570e+05
-8.996103596182301771e+02 1.001525239802809892e+03 1.012504991491247492e+05
-8.994442631642302786e+02 1.003756747010860863e+03 1.012482903233043326e+05
-8.967604169416283639e+02 9.970626906328423047e+02 1.012479279682036722e+05
-9.014760780570346697e+02 1.001838498828652064e+03 1.012467836898983951e+05
-8.990554350195207007e+02 9.983349278147401265e+02 1.012509510463152255e+05
-9.011566097289141908e+02 1.007300721447073329e+03 1.012467704435590713e+05
-8.981428408523537428e+02 1.003545749851551818e+03 1.012468315802084398e+05
-8.999930025117300829e+02 9.954552755079109829e+02 1.012498024376696849e+05
-8.969630982120331737e+02 9.998772897092446783e+02 1.012499354524095834e+05
-8.971261131643203726e+02 1.004621032846546200e+03 1.012469978854926740e+05
-8.979491803734628093e+02 9.978411046057910880e+02 1.012482139161569066e+05
-8.989892902880416159e+02 1.004287068909685559e+03 1.012480725158712303e+05
